SampleID	variety	Plant-status	Vineyard	samplingcode	location	variety-Plant-status	W_Unifrac_pcoa1	W_Unifrac_pcoa2	bray_pcoa1	bray_pcoa2
DNA16S_46	Muller.Thurgau	symptomatic	Menges.V1	A	Rauenberg	Muller.Thurgau-symptomatic	-0.15040698133240216	0.3220518342297112	-0.033455351571741204	1
DNA16S_47	Muller.Thurgau	symptomatic	Menges.V1	A	Rauenberg	Muller.Thurgau-symptomatic	-0.12828659021586464	0.38742490423735754	-0.10404401138016267	-0.04940529429833985
DNA16S_48	Muller.Thurgau	symptomatic	Menges.V1	A	Rauenberg	Muller.Thurgau-symptomatic	-0.1901335084715475	0.28261903781654774	-0.19451664368595553	-0.04777226218528207
DNA16S_49	Silvaner	asymptomatic	Menges.Sil.V2	B	Rauenberg	Silvaner-asymptomatic	0.960662870587261	0.4825258328799635	0.7453269965529908	0.04852291798189805
DNA16S_50	Silvaner	asymptomatic	Menges.Sil.V2	B	Rauenberg	Silvaner-asymptomatic	0.9140063023618886	0.28127776668433085	0.46353212194258164	-0.12827673395201064
DNA16S_51	Silvaner	asymptomatic	Menges.Sil.V2	B	Rauenberg	Silvaner-asymptomatic	1	0.3794581163263377	0.6194917196581866	-0.1289435757237373
DNA16S_52	Silvaner	symptomatic	Menges.Sil.V2	B	Rauenberg	Silvaner-symptomatic	0.128525814728399	0.18743571768560469	0.11239663271580709	-0.08694886494427416
DNA16S_53	Silvaner	symptomatic	Menges.Sil.V2	B	Rauenberg	Silvaner-symptomatic	0.4348587164821302	0.6520136205070926	0.293345955684718	-0.09364985098889451
DNA16S_54	Silvaner	symptomatic	Menges.Sil.V2	B	Rauenberg	Silvaner-symptomatic	0.5533021637787772	0.20502500048937547	0.6614711724458561	-0.12763760471147523
DNA16S_55	Silvaner	asymptomatic	Bury.Sil.V3_50y	J	Ihringen	Silvaner-asymptomatic	0.19440968636385833	-0.20118017257877763	-0.17578041231774894	-0.17619169049183625
DNA16S_56	Silvaner	asymptomatic	Bury.Sil.V3_50y	J	Ihringen	Silvaner-asymptomatic	0.3122482084442674	-0.17491154649795806	-0.0032878529239376082	-0.0795673390945214
DNA16S_57	Silvaner	asymptomatic	Bury.Sil.V3_50y	J	Ihringen	Silvaner-asymptomatic	-0.09862533299578172	-0.1306905396000486	-0.16838099167108514	-0.15038338249785843
DNA16S_58	Silvaner	symptomatic	Bury.Sil.V3_50y	J	Ihringen	Silvaner-symptomatic	-0.05090640678141594	-0.03788456124863199	-0.09360094351943254	-0.08147203813499408
DNA16S_59	Silvaner	symptomatic	Bury.Sil.V3_50y	J	Ihringen	Silvaner-symptomatic	0.05638044827021492	-0.17474211736409004	-0.1604629430655913	-0.09816311682117944
DNA16S_60	Silvaner	symptomatic	Bury.Sil.V3_50y	J	Ihringen	Silvaner-symptomatic	-0.20406085303817983	0.07173689477396578	-0.09271001988869326	-0.10021407066518913
